user_id,book_id,has_read,rating,timestamp
281,441829,1,10,2007-04-11 06:09:42
281,168663,1,10,2007-04-11 06:10:12
1851,454829,0,0,2007-11-26 22:26:15
1851,431081,1,10,2007-11-26 23:25:24
1851,309911,0,0,2007-11-28 21:35:29
1851,32840,0,0,2008-03-02 11:55:09
3370,452571,0,0,2008-03-21 20:05:20
1851,103399,0,0,2008-03-22 18:39:16
1851,231639,0,0,2008-03-22 18:40:31
1851,305622,0,0,2008-03-22 18:42:11
1851,179243,0,0,2008-03-24 19:37:53
1851,403520,0,0,2008-03-24 19:38:37
1851,1121104,0,0,2008-03-24 19:40:24
1851,1755797,0,0,2008-03-24 19:40:55
1851,839480,0,0,2008-03-24 19:41:46
1851,414673,0,0,2008-03-24 19:42:05
1851,380786,0,0,2008-03-24 19:42:32
1851,305652,0,0,2008-03-25 14:51:13
1851,178591,0,0,2008-03-25 15:53:41
3421,3903655,1,10,2008-03-25 16:40:46
1851,1534040,0,0,2008-03-25 18:45:09
1851,1628407,0,0,2008-03-25 18:46:16
1851,305660,0,0,2008-03-25 19:05:43
1851,555465,0,0,2008-04-09 08:00:14
1851,420807,0,0,2008-04-14 15:02:42
1851,31099,0,0,2008-04-14 15:02:50
1851,415746,0,0,2008-04-15 13:21:54
1851,281538,0,0,2008-04-16 13:50:40
2590,1796985,0,0,2008-04-17 18:54:03
1851,876074,0,0,2008-04-20 00:50:10
281,39248,0,0,2008-04-26 22:14:50
1851,305921,0,0,2008-05-18 15:47:35
2590,306948,0,0,2008-07-08 07:02:53
2590,1808963,0,0,2008-07-09 18:10:13
2661,2599190,1,10,2008-09-02 09:44:40
7781,186343,0,0,2008-10-10 20:30:27
7781,2271,0,0,2008-10-10 20:33:22
7781,444697,0,0,2008-10-10 20:36:30
7781,1850449,0,0,2008-10-10 20:44:36
7781,6429265,0,0,2008-10-10 20:45:58
7781,1902534,0,0,2008-10-10 20:47:58
7781,1350395,0,0,2008-10-10 20:49:50
7781,309094,0,0,2008-11-04 19:35:14
7781,444769,0,0,2008-11-18 21:22:36
281,220797,0,0,2008-11-28 00:55:03
9081,674969,0,0,2008-12-11 22:18:19
9081,106381,0,0,2008-12-11 22:40:42
9081,849485,0,0,2008-12-11 23:40:42
281,1998321,0,0,2008-12-12 00:43:29
9670,125985,1,10,2009-01-05 16:25:39
9670,180596,1,10,2009-01-05 16:26:39
9670,1288384,1,10,2009-01-05 16:27:22
9670,127583,1,8,2009-01-05 16:28:37
9670,117499,1,10,2009-01-05 16:29:40
9670,468092,1,10,2009-01-05 16:35:45
9670,2251390,1,6,2009-01-05 16:39:53
9670,33981,1,10,2009-01-05 16:43:28
9670,6326923,1,10,2009-01-05 17:31:17
9670,569754,1,10,2009-01-05 17:43:05
9670,18472,1,10,2009-01-05 17:45:55
9670,2368325,1,8,2009-01-05 18:37:15
9670,166554,1,10,2009-01-05 18:43:09
9670,20,1,10,2009-01-05 18:45:18
9670,182330,1,8,2009-01-05 18:53:59
9670,32361,1,10,2009-01-05 19:04:16
9670,18863,1,10,2009-01-05 19:06:03
9670,10950,1,10,2009-01-05 19:45:05
9670,2437277,1,8,2009-01-05 19:48:03
9670,316427,1,10,2009-01-05 19:52:56
9670,450017,1,10,2009-01-05 19:58:56
9670,9864,1,10,2009-01-06 03:39:38
9670,3757114,0,0,2009-01-06 06:05:03
9670,97586,0,0,2009-01-06 06:44:06
9670,818610,1,6,2009-01-09 15:03:11
9670,1856383,1,10,2009-01-20 20:28:25
9670,186099,1,10,2009-02-07 11:39:33
9670,971586,0,0,2009-03-17 02:43:02
4241,39248,1,10,2009-03-20 00:22:59
9670,313591,0,0,2009-04-02 17:25:34
9670,254026,1,10,2009-04-11 14:23:46
4241,102629,1,6,2009-04-18 16:29:41
4241,496057,1,10,2009-04-20 20:09:56
