book_id,title,author_id,author_name,publication_year,language,publisher,avg_rating
20,Вероника решает умереть,21,Пауло Коэльо,2019,119,9,5.603448275862069
35,Самое жуткое приключение,33,Р. Л. Стайн,2002,119,122,4.0
53,Переписка 1920-1963,21510,Мартин Хайдеггер,2001,119,1903,8.0
54,Вердикт,14088,Джон Гришэм,2021,119,9,4.0
69,Как выжить с мужчиной,69,Иоанна Хмелевская,2001,119,157,4.0
72,Эта горькая сладкая месть,72,Дарья Донцова,2015,119,7,4.0
76,Улики,326121,Джон Бэнвилл,2001,119,988,0.0
86,Исповедь маски,88,Юкио Мисима,2016,119,78,3.9302325581395348
106,Тринадцатая свеча. Мой визит на Венеру,113,Лобсанг Рампа,2009,119,432,10.0
139,Безнадёга,48,Стивен Кинг,2021,119,9,5.313725490196078
140,Воспламеняющая,48,Стивен Кинг,2024,119,9,5.452830188679245
141,Благословение небес,568,Джудит Макнот,2018,119,9,9.0
142,Комбат не ждет награды,11,Андрей Воронин,1999,119,10,8.0
147,Звезды - холодные игрушки,226891,Сергей Лукьяненко,2017,119,9,6.722222222222222
152,Корпорация М.И.Ф.,153,Роберт Асприн,2007,119,9,5.0
154,"Там, где нас нет",154,Михаил Успенский,2018,119,1779,6.4
160,Первое Правило Волшебника. Книга I,160,Терри Гудкайнд,2008,119,9,2.6666666666666665
161,Первое правило Волшебника. Книга 2,160,Терри Гудкайнд,2009,119,9,0.0
162,Звездная тень,226891,Сергей Лукьяненко,2017,119,9,7.916666666666667
166,Бессонница,48,Стивен Кинг,2022,119,9,4.26
167,Игра Джералда,48,Стивен Кинг,2016,119,9,5.923076923076923
169,Темная половина,48,Стивен Кинг,2019,119,9,6.0
175,Томминокеры,48,Стивен Кинг,2020,119,760,3.727272727272727
183,Выбор,167,Виктор Суворов,2012,119,1485,3.0
190,Тотем и табу. Психология первобытной культуры и религии,182161,Зигмунд Фрейд,2018,119,7,0.0
194,Эдуард Тополь. Собрание сочинений в шести томах. Том 6. Убийца на экспорт. Дюжина разных историй,136,Эдуард Тополь,1995,119,9,10.0
204,Собрание сочинений в 3-х томах. Том 1,179,Сергей Довлатов,1995,119,973,3.0
206,Сергей Довлатов. Собрание сочинений в 3-х томах. Том 3,179,Сергей Довлатов,1995,119,973,0.0
208,Кольцо Харона,181,Роджер Макбрайд Аллен,1996,119,9,0.0
209,Остроумие и его отношение к бессознательному,182161,Зигмунд Фрейд,2024,119,9,2.6666666666666665
219,Военный талант,191,Джек Макдевит,2018,119,69,0.0
225,Ночная смена,48,Стивен Кинг,2017,119,9,5.604651162790698
236,Лилит. Цербер,200,Джек Чалкер,1996,119,9,0.0
276,Анти-Карнеги. Прихоти удачи,235295,Эверетт Шостром,2004,119,1276,0.0
290,Галактическая полиция: На полпути с обрыва. Детский остров,232227,Кир Булычёв,2003,119,9,0.0
299,Хроники Амбера: Кровь Амбера. Знак Хаоса,209,Роджер Желязны,2002,119,36,9.2
307,Роза Мира,254,Даниил Андреев,2024,119,78,0.8571428571428571
313,К западу от Эдема,182,Гарри Гаррисон,2018,119,69,4.375
314,Зима в Простоквашино,7758,Эдуард Успенский,2018,119,9,9.0
317,КлаТбище домашних жЫвотных,48,Стивен Кинг,2022,119,9,6.429752066115703
321,Враг неведом,265,Ник Перумов,2008,119,36,6.8
322,Разрешенное волшебство,265,Ник Перумов,2004,119,36,5.333333333333333
332,Лангольеры,48,Стивен Кинг,2012,119,32,6.594594594594595
340,Собрание сочинений в четырёх томах. Том 1. Колымские рассказы. Левый берег. Артист лопаты,271,Варлам Шаламов,1998,119,56,0.0
346,Третье Правило Волшебника. Книга II,160,Терри Гудкайнд,1998,119,9,7.0
349,Жёлтый Туман,110062,Александр Волков,2023,119,64777,8.0
370,Теории личности,296,Ларри А. Хьелл,2014,119,1586,10.0
371,Дом с привидением. Особые заслуги,69,Иоанна Хмелевская,1997,119,157,0.0
375,Тайна,69,Иоанна Хмелевская,2023,119,59925,0.0
402,Я познаю мир. Физика,674,Александр Леонович,2009,119,9,6.0
403,Евгений Онегин,4215,Александр Пушкин,2021,119,9,7.333333333333333
408,Гарпии,69,Иоанна Хмелевская,2016,119,9,8.0
422,Незабвенная,338,Ивлин Во,2021,119,69,5.933333333333334
431,100 великих чудес света,502,Надежда Ионина,2015,119,265,0.0
436,Тайна кораллового рифа,33,Р. Л. Стайн,2001,119,122,8.0
444,Меч Без Имени,25,Андрей Белянин,2011,119,101,6.0
445,Свирепый ландграф,25,Андрей Белянин,2011,119,101,6.0
455,Добро пожаловать в мертвый дом,33,Р. Л. Стайн,2019,119,9,2.5714285714285716
456,Нечто из подвала,33,Р. Л. Стайн,2002,119,122,8.0
458,Рубеж,360,Генри Лайон Олди,2008,119,7,0.0
470,Веб-дизайн: книга Дмитрия Кирсанова,382,Дмитрий Кирсанов,2006,119,2415,0.0
481,Вспомнишь странного человека...,390,Александр Пятигорский,1999,119,1399,0.0
